"size";"time";"n";"workers";"host"
8;0.00315533041954041;1000;125;"AMD EPYC 7742 64-Core Processor"
16;0.00193342757225037;1000;125;"AMD EPYC 7742 64-Core Processor"
32;0.00141913247108459;1000;125;"AMD EPYC 7742 64-Core Processor"
64;0.00122273445129395;1000;125;"AMD EPYC 7742 64-Core Processor"
128;0.00122175073623657;1000;125;"AMD EPYC 7742 64-Core Processor"
256;0.00141170692443848;1000;125;"AMD EPYC 7742 64-Core Processor"
8;0.00316201019287109;1000;125;"AMD EPYC 7742 64-Core Processor"
16;0.0019744770526886;1000;125;"AMD EPYC 7742 64-Core Processor"
32;0.00143407106399536;1000;125;"AMD EPYC 7742 64-Core Processor"
64;0.00118483138084412;1000;125;"AMD EPYC 7742 64-Core Processor"
128;0.00115580487251282;1000;125;"AMD EPYC 7742 64-Core Processor"
256;0.00192467164993286;1000;125;"AMD EPYC 7742 64-Core Processor"
8;0.00317491936683655;1000;125;"AMD EPYC 7742 64-Core Processor"
16;0.00199471235275269;1000;125;"AMD EPYC 7742 64-Core Processor"
32;0.00148677659034729;1000;125;"AMD EPYC 7742 64-Core Processor"
64;0.00122718405723572;1000;125;"AMD EPYC 7742 64-Core Processor"
128;0.00120794701576233;1000;125;"AMD EPYC 7742 64-Core Processor"
256;0.00192450547218323;1000;125;"AMD EPYC 7742 64-Core Processor"
8;0.00322560977935791;1000;125;"AMD EPYC 7742 64-Core Processor"
16;0.00191279911994934;1000;125;"AMD EPYC 7742 64-Core Processor"
32;0.0014339919090271;1000;125;"AMD EPYC 7742 64-Core Processor"
64;0.00123705506324768;1000;125;"AMD EPYC 7742 64-Core Processor"
128;0.00120487689971924;1000;125;"AMD EPYC 7742 64-Core Processor"
256;0.00194925308227539;1000;125;"AMD EPYC 7742 64-Core Processor"
8;0.00308416152000427;1000;125;"AMD EPYC 7742 64-Core Processor"
16;0.00189136838912964;1000;125;"AMD EPYC 7742 64-Core Processor"
32;0.00139254260063171;1000;125;"AMD EPYC 7742 64-Core Processor"
64;0.00119217395782471;1000;125;"AMD EPYC 7742 64-Core Processor"
128;0.00117707490921021;1000;125;"AMD EPYC 7742 64-Core Processor"
256;0.00199147081375122;1000;125;"AMD EPYC 7742 64-Core Processor"
8;0.00305826616287231;1000;125;"AMD EPYC 7742 64-Core Processor"
16;0.00199572587013245;1000;125;"AMD EPYC 7742 64-Core Processor"
32;0.00141942524909973;1000;125;"AMD EPYC 7742 64-Core Processor"
64;0.00119195628166199;1000;125;"AMD EPYC 7742 64-Core Processor"
128;0.0011902060508728;1000;125;"AMD EPYC 7742 64-Core Processor"
256;0.00189565229415894;1000;125;"AMD EPYC 7742 64-Core Processor"
8;0.00193025832176208;5000;125;"AMD EPYC 7742 64-Core Processor"
16;0.00121063003540039;5000;125;"AMD EPYC 7742 64-Core Processor"
32;0.000843923711776733;5000;125;"AMD EPYC 7742 64-Core Processor"
64;0.000472652626037598;5000;125;"AMD EPYC 7742 64-Core Processor"
128;0.000379795598983765;5000;125;"AMD EPYC 7742 64-Core Processor"
256;0.000631847810745239;5000;125;"AMD EPYC 7742 64-Core Processor"
8;0.00193873281478882;5000;125;"AMD EPYC 7742 64-Core Processor"
16;0.00120522246360779;5000;125;"AMD EPYC 7742 64-Core Processor"
32;0.000835762739181519;5000;125;"AMD EPYC 7742 64-Core Processor"
64;0.000482093620300293;5000;125;"AMD EPYC 7742 64-Core Processor"
128;0.000350115442276001;5000;125;"AMD EPYC 7742 64-Core Processor"
256;0.000475014734268188;5000;125;"AMD EPYC 7742 64-Core Processor"
8;0.00192476043701172;5000;125;"AMD EPYC 7742 64-Core Processor"
16;0.0012014012336731;5000;125;"AMD EPYC 7742 64-Core Processor"
32;0.000835525131225586;5000;125;"AMD EPYC 7742 64-Core Processor"
64;0.000472990846633911;5000;125;"AMD EPYC 7742 64-Core Processor"
128;0.000351194524765015;5000;125;"AMD EPYC 7742 64-Core Processor"
256;0.000490893697738647;5000;125;"AMD EPYC 7742 64-Core Processor"
8;0.0019320716381073;5000;125;"AMD EPYC 7742 64-Core Processor"
16;0.00118198571205139;5000;125;"AMD EPYC 7742 64-Core Processor"
32;0.000841618061065674;5000;125;"AMD EPYC 7742 64-Core Processor"
64;0.000465212774276733;5000;125;"AMD EPYC 7742 64-Core Processor"
128;0.000401167917251587;5000;125;"AMD EPYC 7742 64-Core Processor"
256;0.000658493709564209;5000;125;"AMD EPYC 7742 64-Core Processor"
8;0.00192621750831604;5000;125;"AMD EPYC 7742 64-Core Processor"
16;0.00121066436767578;5000;125;"AMD EPYC 7742 64-Core Processor"
32;0.000858895301818848;5000;125;"AMD EPYC 7742 64-Core Processor"
64;0.000495144891738892;5000;125;"AMD EPYC 7742 64-Core Processor"
128;0.000412545204162598;5000;125;"AMD EPYC 7742 64-Core Processor"
256;0.000734788751602173;5000;125;"AMD EPYC 7742 64-Core Processor"
8;0.00208177843093872;5000;125;"AMD EPYC 7742 64-Core Processor"
16;0.00129625344276428;5000;125;"AMD EPYC 7742 64-Core Processor"
32;0.00100310192108154;5000;125;"AMD EPYC 7742 64-Core Processor"
64;0.000525013017654419;5000;125;"AMD EPYC 7742 64-Core Processor"
128;0.000377464532852173;5000;125;"AMD EPYC 7742 64-Core Processor"
256;0.00036484260559082;5000;125;"AMD EPYC 7742 64-Core Processor"
8;0.00196090941429138;10000;125;"AMD EPYC 7742 64-Core Processor"
16;0.00102550995349884;10000;125;"AMD EPYC 7742 64-Core Processor"
32;0.00067919294834137;10000;125;"AMD EPYC 7742 64-Core Processor"
64;0.000447644448280334;10000;125;"AMD EPYC 7742 64-Core Processor"
128;0.000268722200393677;10000;125;"AMD EPYC 7742 64-Core Processor"
256;0.000283536505699158;10000;125;"AMD EPYC 7742 64-Core Processor"
8;0.00191016647815704;10000;125;"AMD EPYC 7742 64-Core Processor"
16;0.00101142330169678;10000;125;"AMD EPYC 7742 64-Core Processor"
32;0.00062958836555481;10000;125;"AMD EPYC 7742 64-Core Processor"
64;0.000441669178009033;10000;125;"AMD EPYC 7742 64-Core Processor"
128;0.000269937992095947;10000;125;"AMD EPYC 7742 64-Core Processor"
256;0.000213861799240112;10000;125;"AMD EPYC 7742 64-Core Processor"
8;0.001887513422966;10000;125;"AMD EPYC 7742 64-Core Processor"
16;0.000993251490592957;10000;125;"AMD EPYC 7742 64-Core Processor"
32;0.000666598081588745;10000;125;"AMD EPYC 7742 64-Core Processor"
64;0.00044187445640564;10000;125;"AMD EPYC 7742 64-Core Processor"
128;0.000340518188476562;10000;125;"AMD EPYC 7742 64-Core Processor"
256;0.000231869721412659;10000;125;"AMD EPYC 7742 64-Core Processor"
8;0.0019213052034378;10000;125;"AMD EPYC 7742 64-Core Processor"
16;0.0010374175786972;10000;125;"AMD EPYC 7742 64-Core Processor"
32;0.000667775535583496;10000;125;"AMD EPYC 7742 64-Core Processor"
64;0.00047418966293335;10000;125;"AMD EPYC 7742 64-Core Processor"
128;0.000265743374824524;10000;125;"AMD EPYC 7742 64-Core Processor"
256;0.00028847484588623;10000;125;"AMD EPYC 7742 64-Core Processor"
8;0.00190791597366333;10000;125;"AMD EPYC 7742 64-Core Processor"
16;0.0010554060459137;10000;125;"AMD EPYC 7742 64-Core Processor"
32;0.000671565914154053;10000;125;"AMD EPYC 7742 64-Core Processor"
64;0.000459871244430542;10000;125;"AMD EPYC 7742 64-Core Processor"
128;0.000272866463661194;10000;125;"AMD EPYC 7742 64-Core Processor"
256;0.000214281153678894;10000;125;"AMD EPYC 7742 64-Core Processor"
8;0.00189339723587036;10000;125;"AMD EPYC 7742 64-Core Processor"
16;0.00100794649124146;10000;125;"AMD EPYC 7742 64-Core Processor"
32;0.000658854842185974;10000;125;"AMD EPYC 7742 64-Core Processor"
64;0.000449276852607727;10000;125;"AMD EPYC 7742 64-Core Processor"
128;0.000260884523391724;10000;125;"AMD EPYC 7742 64-Core Processor"
256;0.000228742051124573;10000;125;"AMD EPYC 7742 64-Core Processor"
8;0.0427455568313599;1000;6;"Apple M1"
16;0.0210880179405212;1000;6;"Apple M1"
32;0.0104234960079193;1000;6;"Apple M1"
